,Survived,Pclass,Name,Sex,Age,SibSp,Parch,Fare,Embarked,Deck,Relatives,Age_Class
0,0,3,2,1,1,1,0,0,2,7,1,3
1,1,3,1,0,2,0,0,1,2,7,0,6
2,1,1,3,0,4,1,0,5,2,2,1,4
3,0,3,2,1,4,0,0,1,2,7,0,12
4,0,3,2,1,3,0,0,2,1,7,0,9
5,0,1,2,1,5,0,0,5,2,4,0,5
6,1,3,3,0,2,0,2,2,2,7,2,6
7,1,2,3,0,0,1,0,4,0,7,1,0
8,0,3,2,1,1,0,0,1,2,7,0,3
9,0,3,2,1,4,1,5,4,2,7,6,12
10,0,3,1,0,0,0,0,1,2,7,0,0
11,1,2,2,1,3,0,0,2,2,7,0,6
12,0,3,3,0,4,1,0,3,2,7,1,12
13,1,3,3,0,3,0,0,0,0,7,0,9
14,0,2,2,1,4,0,0,3,2,7,0,8
15,1,2,2,1,4,0,0,2,2,3,0,8
16,1,3,1,0,0,0,0,1,1,7,0,0
17,1,1,2,1,2,0,0,4,2,0,0,2
18,0,3,1,0,0,3,1,3,2,7,4,0
19,1,3,3,0,4,1,5,4,2,7,6,12
20,0,3,2,1,3,0,0,0,0,7,0,9
21,1,3,1,0,3,0,0,1,1,7,0,9
22,0,3,2,1,3,0,0,1,2,7,0,9
23,0,1,4,1,4,0,0,4,0,7,0,4
24,1,3,1,0,3,0,0,0,1,7,0,9
25,0,1,2,1,5,1,0,5,2,7,1,5
26,1,3,2,1,3,0,0,0,0,7,0,9
27,0,3,2,1,1,0,0,1,2,7,0,3
28,0,3,1,0,0,2,0,3,2,7,2,0
29,1,3,1,0,0,1,0,2,0,7,1,0
30,0,3,3,0,4,1,0,2,2,7,1,12
31,0,2,3,0,2,1,0,3,2,7,1,4
32,0,3,2,1,3,0,0,1,0,7,0,9
33,1,3,1,0,0,0,0,1,1,7,0,0
34,0,3,2,1,3,0,0,1,2,7,0,9
35,0,3,2,1,3,1,0,3,1,7,1,9
36,1,3,1,0,3,0,0,0,1,7,0,9
37,0,3,2,1,3,2,0,3,0,7,2,9
38,0,3,3,0,0,1,0,3,2,7,1,0
39,0,3,0,1,0,4,1,4,2,7,5,0
40,0,3,2,1,1,0,0,1,2,7,0,3
41,1,2,3,0,2,1,0,3,2,7,1,4
42,1,1,2,1,3,0,0,4,2,2,0,3
43,1,2,1,0,1,0,0,2,2,7,0,2
44,0,3,2,1,2,0,0,0,0,7,0,6
45,0,3,0,1,0,5,2,4,2,7,7,0
46,0,3,2,1,1,0,0,0,0,7,0,3
47,0,1,2,1,3,0,0,4,0,7,0,3
48,1,3,0,1,3,1,1,3,0,7,2,9
49,1,2,3,0,2,0,0,2,2,5,0,4
50,0,3,2,1,0,0,0,1,2,7,0,0
51,1,3,1,0,0,4,2,1,2,7,6,0
52,0,3,2,1,2,2,0,2,2,7,2,6
